日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-06-05,1.4654,1.4663,1.4525,1.4581,39681156.0,57857431.67,0.0,0.0,,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-06,1.4571,1.4663,1.4553,1.459,25213400.0,36785794.33,0.76,0.06,0.0009,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-09,1.459,1.4654,1.459,1.4654,35159100.0,51522756.38,0.44,0.44,0.0064,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-10,1.4663,1.4958,1.4663,1.4893,39425689.0,58718056.2,2.01,1.63,0.0239,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-11,1.4921,1.5114,1.4912,1.505,50215200.0,75572540.86,1.36,1.05,0.0156,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-12,1.5077,1.5123,1.5022,1.5087,56508700.0,85252015.57,0.67,0.24,0.0037,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-13,1.5105,1.5271,1.5077,1.5197,44390500.0,67459885.25,1.28,0.73,0.011,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-16,1.5346,1.5346,1.516,1.529,42109700.0,64385893.78,1.23,0.61,0.0093,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-17,1.5299,1.5355,1.5197,1.5206,89682900.0,136373888.33,1.04,-0.55,-0.0084,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-18,1.5243,1.5346,1.5132,1.5216,76621100.0,116583168.07,1.41,0.06,0.0009,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-19,1.5234,1.5234,1.488,1.489,100821100.0,150118888.32,2.33,-2.14,-0.0326,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-20,1.4964,1.516,1.4899,1.5067,54279700.0,81780806.08,1.75,1.19,0.0177,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-23,1.5132,1.5243,1.4992,1.5216,64033000.0,97429689.75,1.67,0.99,0.0149,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-24,1.5178,1.5327,1.515,1.5318,59040900.0,90438704.69,1.16,0.67,0.0102,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-25,1.5355,1.5355,1.5225,1.5309,39919600.0,61111568.96,0.85,-0.06,-0.0009,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-26,1.5337,1.5337,1.5225,1.5243,25804700.0,39335337.21,0.73,-0.43,-0.0065,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-27,1.5243,1.5318,1.5057,1.5104,40777600.0,61589672.7,1.71,-0.92,-0.014,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-06-30,1.5104,1.5122,1.4992,1.5067,53217000.0,80179683.33,0.86,-0.25,-0.0037,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-01,1.5104,1.5132,1.5076,1.5113,12879500.0,19464935.33,0.37,0.31,0.0047,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-02,1.5141,1.5346,1.5141,1.5318,42102400.0,64492352.25,1.36,1.36,0.0205,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-03,1.5309,1.5402,1.5225,1.5309,33326800.0,51018873.85,1.16,-0.06,-0.0009,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-04,1.5281,1.5337,1.5225,1.5253,50432691.0,76923926.77,0.73,-0.36,-0.0056,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-07,1.5299,1.5299,1.5216,1.5281,65049900.0,99400977.29,0.55,0.18,0.0028,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-08,1.5309,1.5337,1.5206,1.5216,123982000.0,188645351.53,0.85,-0.43,-0.0065,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-09,1.5216,1.5299,1.515,1.5281,77621400.0,118611143.43,0.98,0.43,0.0065,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-10,1.5271,1.5532,1.5271,1.5514,45818000.0,71079857.96,1.71,1.52,0.0233,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-11,1.5551,1.5802,1.5532,1.5728,77371800.0,121688008.95,1.74,1.38,0.0214,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-14,1.5718,1.586,1.569,1.5728,48024400.0,75531301.21,1.08,-0.0,-0.0,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-15,1.5765,1.5813,1.5586,1.5671,37512500.0,58786417.42,1.44,-0.36,-0.0057,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-16,1.569,1.5775,1.5652,1.5709,46602300.0,73206834.71,0.78,0.24,0.0038,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-17,1.5699,1.5718,1.5605,1.5615,85711701.0,133835496.38,0.72,-0.6,-0.0094,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-18,1.5662,1.5699,1.5605,1.5671,61310600.0,96080787.04,0.6,0.36,0.0057,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-21,1.5709,1.5926,1.5709,1.5916,53784000.0,85603489.62,1.38,1.56,0.0245,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-22,1.5935,1.6199,1.5869,1.6142,57868500.0,93413222.65,2.07,1.42,0.0226,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
,2025-07-23,1.6161,1.6303,1.6142,1.6237,62886500.0,102106030.22,0.99,0.58,0.0094,0.0,0.0,0.0,0.0,513530,港股通红利ETF华泰柏瑞,2026-06-05 09:53:47
