日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-04-29,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-04-30,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-08,0.9971,0.9971,0.9971,0.9971,0,0.0,0.0,-0.29,-0.0029,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-15,0.9787,0.9787,0.9787,0.9787,0,0.0,0.0,-1.85,-0.0184,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-18,0.9705,0.9705,0.9705,0.9705,0,0.0,0.0,-0.84,-0.0082,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-19,0.967,0.979,0.966,0.972,43157500,41949090.12,1.34,0.15,0.0015,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-20,0.965,0.971,0.956,0.965,16653100,16070241.06,1.54,-0.72,-0.007,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-21,0.962,0.968,0.945,0.946,13852666,13104621.76,2.38,-1.97,-0.019,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-22,0.945,0.95,0.921,0.941,4767266,4485997.23,3.07,-0.53,-0.005,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-25,0.941,0.947,0.917,0.941,5579100,5249933.01,3.19,0.0,0.0,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-26,0.937,0.94,0.932,0.935,3992000,3732520.01,0.85,-0.64,-0.006,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-27,0.935,0.935,0.912,0.93,6588800,6127584.05,2.46,-0.53,-0.005,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-28,0.912,0.928,0.909,0.917,5244900,4809573.28,2.04,-1.4,-0.013,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-05-29,0.916,0.944,0.916,0.931,4543000,4229532.97,3.05,1.53,0.014,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-06-01,0.933,0.956,0.922,0.937,1332000,1248083.97,3.65,0.64,0.006,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-06-02,0.93,0.93,0.921,0.924,1387100,1281680.43,0.96,-1.39,-0.013,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-06-03,0.923,0.923,0.906,0.909,4836100,4396014.8,1.84,-1.62,-0.015,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
2026-06-04,,,,,148700,,0.0,0.0,,0.0,0,0.0,0,560420,食品ETF前海开源,2026-06-05 09:51:43
